entry_z,exit_z,min_hold,n_trades,win_rate,total_mtm,total_carry,total_pnl,avg_pnl_per_trade
2.5,-0.25,30,6,0.8333333333333334,1170000,23466,1193466,198911.0
2.5,0.0,30,6,0.8333333333333334,1125000,168675,1293675,215612.5
2.5,0.25,30,6,0.8333333333333334,990000,167388,1157388,192898.0
2.5,0.5,30,7,0.7142857142857143,990000,150570,1140570,162938.57142857142
2.5,0.75,30,7,0.7142857142857143,720000,144073,864073,123439.0
2.5,1.0,30,7,0.7142857142857143,292500,154714,447214,63887.71428571428
2.5,1.25,30,8,0.875,900000,107543,1007543,125942.875
2.5,1.5,30,8,0.875,765000,99483,864483,108060.375
2.75,-1.5,30,4,0.75,1552500,76593,1629093,407273.25
2.75,-1.25,30,4,0.75,1462500,126439,1588939,397234.75
2.75,-1.0,30,5,0.8,2002500,51115,2053615,410723.0
2.75,-0.75,30,5,0.8,1642500,25672,1668172,333634.4
2.75,-0.5,30,5,0.8,1417500,13059,1430559,286111.8
2.75,-0.25,30,6,0.8333333333333334,1507500,282,1507782,251297.0
2.75,0.0,30,6,0.8333333333333334,1462500,145492,1607992,267998.6666666667
2.75,0.25,30,6,0.8333333333333334,1327500,144205,1471705,245284.16666666666
2.75,0.5,30,6,0.8333333333333334,877500,142945,1020445,170074.16666666666
2.75,0.75,30,6,0.8333333333333334,675000,136395,811395,135232.5
2.75,1.0,30,7,0.8571428571428571,742500,134656,877156,125308.0
2.75,1.25,30,7,0.8571428571428571,1395000,68923,1463923,209131.85714285713
2.75,1.5,30,7,0.8571428571428571,1305000,65430,1370430,195775.7142857143
3.0,-1.5,30,4,0.75,1867500,7613,1875113,468778.25
3.0,-1.25,30,4,0.75,1777500,57459,1834959,458739.75
3.0,-1.0,30,4,0.75,1665000,50524,1715524,428881.0
3.0,-0.75,30,4,0.75,1305000,25082,1330082,332520.5
3.0,-0.5,30,4,0.75,1147500,18375,1165875,291468.75
3.0,-0.25,30,5,0.8,1440000,3852,1443852,288770.4
3.0,0.0,30,5,0.8,1395000,149062,1544062,308812.4
3.0,0.25,30,5,0.8,1327500,147906,1475406,295081.2
3.0,0.5,30,5,0.8,877500,146646,1024146,204829.2
3.0,0.75,30,5,0.8,675000,140095,815095,163019.0
3.0,1.0,30,6,0.8333333333333334,832500,138364,970864,161810.66666666666
3.0,1.25,30,6,0.8333333333333334,1462500,71686,1534186,255697.66666666666
3.0,1.5,30,6,0.8333333333333334,1350000,68887,1418887,236481.16666666666
